time,hex_id,num_vehicles,avg_speed,avg_sin,avg_cos,weather,label
2120,4_4,8,12.23375,0.39379118483118747,-0.017809302758210244,1.0,2
2120,4_5,1,2.6,0.46221298770450653,0.8867689405912195,1.0,1
2120,5_2,1,0.0,-0.3760625476577364,-0.9265942802808427,1.0,1
2120,5_3,4,11.467500000000001,0.6464715056583866,0.2872279904629634,1.0,1
2120,5_4,2,6.5,0.26626600709255666,-0.6413977140690316,1.0,1
2120,5_5,1,13.89,-0.4665410217408127,0.8844995619179461,1.0,1
2120,6_2,1,13.89,-0.8300122850953675,0.5577451089796901,1.0,1
2120,6_4,1,13.89,-0.9527675507709364,0.3037005008193945,1.0,1
2121,0_1,3,4.8066666666666675,0.1900021104706696,-0.26889624534888784,1.0,1
2121,0_3,2,5.325,0.04261747142170402,-0.01902356108107567,1.0,1
2121,0_5,1,13.89,0.36763767241561435,0.9299691079927491,1.0,1
2121,1_1,5,13.156,0.7167583145443341,0.20578075595769357,1.0,1
2121,1_2,1,0.47,-0.3474266814914392,-0.9377071509740373,1.0,1
2121,1_3,2,8.27,-0.28386762349527905,0.6509857449133041,1.0,1
2121,1_4,2,5.29,-0.9314373466128979,0.363901562909204,1.0,1
2121,1_5,2,13.89,-0.028669296580233206,-0.2014409773017221,1.0,1
2121,2_1,2,5.305,0.42129097821665806,0.9063507713955679,1.0,1
2121,2_2,2,13.89,-0.024565050451901743,0.010462683046936483,1.0,1
2121,2_3,6,5.843333333333334,0.3337222463678134,0.4024785484812596,1.0,2
2121,2_4,5,8.74,0.21846401643788793,0.560155360168138,1.0,1
2121,2_5,3,5.496666666666667,-0.19248921436411334,0.7558490928012547,1.0,1
2121,3_1,1,13.89,0.41405786883992163,0.9102505595997963,1.0,1
2121,3_2,6,11.575000000000001,0.151885727593152,0.8387639381254948,1.0,2
2121,3_3,1,13.02,0.9336429592841728,-0.35820500356512647,1.0,1
2121,3_4,12,9.193333333333333,0.18782176094637135,0.4634417063469045,1.0,3
2121,4_2,8,13.422500000000001,-0.02095335455877717,-0.3951476379948566,1.0,2
2121,4_3,7,10.450000000000001,-0.32266767267602836,-0.03199714793724828,1.0,2
2121,4_4,8,12.1075,0.3948141582823966,-0.01818823404801287,1.0,2
2121,4_5,1,5.2,0.8277666712360829,0.5610724890695806,1.0,1
2121,5_2,1,2.6,-0.3599968081200511,-0.9329535348254892,1.0,1
2121,5_3,4,10.4175,0.6481493149713524,0.29181778361335253,1.0,1
2121,5_4,2,6.945,0.26626600709255666,-0.6413977140690316,1.0,1
2121,5_5,1,13.89,-0.9999768339346702,0.006806731520561874,1.0,1
2121,6_4,1,13.89,-0.9517016336019816,0.3070244299714919,1.0,1
2122,0_1,3,6.54,0.3130891697482094,-0.11476293079668348,1.0,1
2122,0_3,2,6.625,-0.002847520178811902,0.0011047661756008464,1.0,1
2122,0_5,1,13.89,0.362112684089851,0.9321343272411138,1.0,1
2122,1_1,4,11.8475,0.7954869887699418,0.1229814093304371,1.0,1
2122,1_2,1,0.0,-0.3474266814914392,-0.9377071509740373,1.0,1
2122,1_3,1,0.0,-0.9291970903653602,0.36958458741747957,1.0,1
2122,1_4,2,3.04,-0.9314373466128979,0.363901562909204,1.0,1
2122,1_5,2,13.89,-0.024005298820967635,-0.1879110883903193,1.0,1
2122,2_1,2,3.055,0.3990573916993092,0.91689379175397,1.0,1
2122,2_2,3,13.89,0.04442290510218686,0.348329782050217,1.0,1
2122,2_3,7,7.735714285714286,0.3380708840543222,0.4791532647551505,1.0,2
2122,2_4,5,8.334,0.22244854224721386,0.5585576936909238,1.0,1
2122,2_5,3,6.3066666666666675,-0.14232307732163949,0.76167684099241,1.0,1
2122,3_1,1,13.89,0.383005903838815,0.9237458945102881,1.0,1
2122,3_2,6,11.575000000000001,0.15513774790163506,0.8374165207890433,1.0,2
2122,3_3,2,11.455,0.26952973411446945,-0.6385325477598219,1.0,1
2122,3_4,11,8.97909090909091,0.16979688183652533,0.4216610260507469,1.0,3
2122,4_2,8,11.9375,-0.020508559587575206,-0.39701042182746693,1.0,2
2122,4_3,6,9.236666666666666,-0.31334458678632426,0.11658395517256187,1.0,2
2122,4_4,9,12.094444444444445,0.3912269559330515,0.0874151348894815,1.0,2
2122,4_5,1,7.8,0.9806488426645602,0.1957749917141068,1.0,1
2122,5_2,1,5.2,-0.35020738125946754,-0.9366721892483976,1.0,1
2122,5_3,4,10.4175,0.6488604314919002,0.2891544093402716,1.0,1
2122,5_4,2,5.965,0.26626600709255666,-0.6413977140690316,1.0,1
2122,5_5,1,13.89,-0.9932720857793921,-0.11580398789098713,1.0,1
2122,6_4,1,13.89,-0.9502442534023859,0.31150579268408823,1.0,1
2123,0_1,3,8.096666666666666,0.3130891697482094,-0.11476293079668348,1.0,1
2123,0_3,2,6.945,-0.003010438857779796,0.0011673700549752475,1.0,1
2123,0_5,1,13.89,0.36325123047297836,0.9316912275855489,1.0,1
2123,1_1,4,12.4975,0.7509735880078916,0.20688556135957287,1.0,1
2123,1_2,1,0.0,-0.3474266814914392,-0.9377071509740373,1.0,1
2123,1_3,1,0.0,-0.9291970903653602,0.36958458741747957,1.0,1
2123,1_4,3,5.156666666666667,-0.9536191141307945,0.22143862251666727,1.0,1
2123,1_5,1,13.89,0.9828388977133543,-0.18446598911885798,1.0,1
2123,2_1,2,0.805,0.3990573916993092,0.91689379175397,1.0,1
2123,2_2,3,13.89,0.2733698450181122,0.19488390328084915,1.0,1
2123,2_3,7,7.937142857142858,0.33837626555407346,0.4800777771983283,1.0,2
2123,2_4,6,9.26,0.341424152551187,0.4058601000062086,1.0,2
2123,2_5,3,7.173333333333333,-0.23659277470723453,0.7522470977605206,1.0,1
2123,3_1,2,13.89,0.015225680301599515,-0.005623088906389295,1.0,1
2123,3_2,6,10.676666666666668,0.1475022343260036,0.8391853823164013,1.0,2
2123,3_3,3,10.233333333333333,0.4878019490443753,-0.5528731702608932,1.0,1
2123,3_4,11,8.932727272727274,0.18183134737728562,0.4156697890104615,1.0,3
2123,4_2,6,9.036666666666667,-0.13080621360041814,-0.30675630404638893,1.0,2
2123,4_3,6,8.363333333333333,-0.31334458678632426,0.11658395517256187,1.0,2
2123,4_4,9,11.472222222222221,0.3911867236067942,0.08747253092001443,1.0,2
2123,4_5,1,10.4,0.9981241282392745,0.06122274599026194,1.0,1
2123,5_2,1,7.8,-0.35020738125946754,-0.9366721892483976,1.0,1
2123,5_3,4,10.4175,0.6745789425327979,0.277338809021464,1.0,1
2123,5_4,2,3.965,0.26626600709255666,-0.6413977140690316,1.0,1
2123,5_5,1,13.89,-0.9932720857793921,-0.11580398789098713,1.0,1
2123,6_4,1,13.89,-0.9502442534023859,0.31150579268408823,1.0,1
2124,0_1,3,8.963333333333333,0.3130891697482094,-0.11476293079668348,1.0,1
2124,0_3,2,6.945,-0.002928976786686327,0.0011360752239564786,1.0,1
2124,1_1,4,13.1475,0.6682040034855192,0.27358875722803133,1.0,1
2124,1_2,1,2.6,-0.39008839970373976,-0.9207774108961272,1.0,1
2124,1_3,1,0.0,-0.9291970903653602,0.36958458741747957,1.0,1
2124,1_4,3,4.63,-0.9536191141307945,0.22143862251666727,1.0,1
2124,1_5,2,12.75,0.631721516520292,0.6861502742424838,1.0,1
2124,2_1,2,0.0,0.3990573916993092,0.91689379175397,1.0,1
2124,2_2,3,12.893333333333333,0.12537091757154295,0.3089074299428061,1.0,1
